Annee;Site;Type;Dose;Répétition;Rendement;B;Ca;Cu;Fe;K;Mg;Mn;P;Zn;N;C;S
2014;A9;N;0;1;37.12;55.0279;6923.241;3.714;109.612;6898.433;1909.996;172.151;911.382;12.616;7697.00;513060.00;587.80
2014;A9;N;0;2;21.72;43.2255;8433.753;2.975;122.377;5290.367;2249.420;143.915;974.491;15.709;8216.70;504020.00;708.30
2014;A9;N;15;1;48.79;67.3837;8233.325;2.669;208.270;5057.437;2279.433;175.204;905.435;15.108;9835.60;517690.00;751.40
2014;A9;N;15;2;28.83;49.6646;8106.856;2.587;167.474;5252.652;2317.112;159.900;958.958;15.952;9182.90;515980.00;861.90
2014;A9;N;30;1;55.04;54.2830;8212.794;3.900;150.770;4780.185;2277.691;236.870;902.764;13.739;10223.00;516660.00;871.10
2014;A9;N;30;2;38.84;47.9648;9037.465;2.844;112.396;4760.923;2441.589;204.576;1007.566;14.431;10400.00;512710.00;967.00
2014;A9;N;45;1;59.89;54.6828;8709.772;3.864;247.966;4807.192;2299.893;276.943;957.740;14.075;11191.00;513750.00;814.20
2014;A9;N;45;2;39.98;42.7036;8177.910;3.009;169.773;4725.604;2265.449;170.687;972.920;14.251;10718.00;510330.00;766.20
2014;A9;N;60;1;55.8;67.3492;8747.069;2.631;145.719;5088.693;2275.461;218.270;978.299;13.551;11826.00;511180.00;967.20
2014;A9;N;60;2;27.45;48.6676;8576.759;2.571;106.045;4653.149;2371.651;203.417;1047.443;14.050;12232.00;518370.00;1039.00
2014;A9;P;0;1;61;48.2268;8376.249;2.292;114.800;4334.052;2144.592;237.514;853.397;15.975;10430.00;522240.00;773.80
2014;A9;P;0;2;50.41;49.4769;8467.820;2.492;95.232;4364.658;2119.766;187.110;886.591;14.960;10672.00;515680.00;856.20
2014;A9;P;15;1;61.14;70.2612;7905.659;2.038;277.922;4717.561;1921.428;181.115;867.198;10.737;11286.00;520240.00;1189.80
2014;A9;P;15;2;43.48;55.5275;8444.678;2.618;103.591;4267.837;2187.558;182.101;912.838;12.526;10740.00;511780.00;940.60
2014;A9;P;30;1;63.74;57.4891;8793.260;2.481;116.163;4535.560;2234.622;210.269;970.722;13.276;11303.00;517620.00;974.80
